time;LAT;LON;T-Mobile LTE - RSRP;T-Mobile LTE - SINR;O2 LTE - RSRP;O2 LTE - SINR;Vodafone LTE - RSRP;Vodafone LTE - SINR;T-Mobile GSM - PSCH;O2 GSM - PSCH;Vodafone GSM - PSCH
12:09:36;49,979177;14,600468;-67,94;14,74;-74,47;9,54;-70,1;22,74;-90,2;-37,4;-46,8
12:09:37;49,979078;14,600212;-69,33;14,57;-74,55;10,87;-71,24;22,77;-36,76;-43,16;-46,2
12:09:38;49,978982;14,599926;-75,65;11,56;-74,62;10,48;-72,89;22,68;-36,76;-43,16;-46,2
12:09:39;49,97891;14,599688;-75,65;11,56;-74,62;10,48;-75,4;20,26;-36,76;-43,16;-46,2
12:09:40;49,978829;14,599397;-78,52;9,78;-75,61;10,52;-74,35;22,88;-79,08;-66,44;-49,08
12:09:41;49,978754;14,599107;-79,15;7,38;-75,32;10,87;-75,06;23,24;-45,96;-51,4;-49,08
12:09:42;49,978687;14,598835;-76,07;10,16;-75,23;10,79;-75,06;23,24;-41,56;-60,36;-51,88
12:09:43;49,978614;14,598538;-76,48;9,53;-73,48;10,37;-72,6;25,62;-41,56;-60,36;-51
12:09:44;49,978526;14,598186;-77,93;8,57;-71,15;11,6;-76,5;22,68;-41,56;-60,36;-51
12:09:45;49,978462;14,597937;-79,46;6,73;-71,25;10,7;-75,16;21,88;-41,56;-60,36;-51
12:09:46;49,978393;14,597661;-75,76;10,86;-73,83;12,24;-75,94;22,66;-45,16;-63;-51
12:09:47;49,978319;14,597354;-75,38;10,68;-78,42;10,3;-74,33;24,36;-45,16;-61,32;-51
12:09:48;49,978247;14,597057;-77,68;8,01;-84,47;5,63;-75,88;19,95;-61,8;-55,32;-63
12:09:49;49,97817;14,596738;-74,09;11,08;-78,69;9,93;-78,52;18,99;-54,36;-52,2;-70,68
12:09:50;49,978101;14,596455;-75,83;9,06;-79,39;8,41;-72,73;23,28;-54,36;-52,2;-70,68
12:09:51;49,978013;14,596094;-80,49;5,21;-75,66;10,37;-73,81;23,06;-54,36;-52,2;-70,68
12:09:52;49,977957;14,595868;-80,49;5,21;-75,66;10,37;-73,81;23,06;-58,12;-52,2;-70,68
12:09:53;49,97787;14,59552;-76,77;8,06;-77,4;7,2;-75,16;21,27;-54,36;-52,2;-66,6
12:09:54;49,977806;14,595262;-76,6;9,06;-77,35;7,09;-75,16;21,27;-63,88;-55,88;-50,84
12:09:55;49,977728;14,594941;-81,89;2,78;-77,35;7,09;-75,28;19,65;-56,52;-56,6;-49,88
12:09:56;49,977658;14,594659;-81,89;2,78;-76,81;7,14;-76,11;19,65;-56,52;-56,6;-49,88
12:09:57;49,977585;14,594365;-73,66;8,91;-76,43;7,54;-73,18;24,36;-52,28;-56,6;-49,88
12:09:58;49,977513;14,594081;-81,01;4,15;-85,59;3,55;-81,82;17,92;-56,52;-56,6;-49,88
12:09:59;49,977435;14,593778;-71,88;13,3;-76,85;7,81;-69,21;27,4;-56,52;-56,6;-41
12:10:00;49,977361;14,593498;-74,68;11,01;-83,58;3,61;-69,94;23,91;-62,04;-59,32;-41
12:10:01;49,97728;14,593212;-72,8;12,39;-74,47;11,74;-68,8;21,77;-43,56;-75,32;-43,72
12:10:02;49,977196;14,592925;-69,22;14,17;-72,01;12,31;-65,27;24,7;-43,56;-75,32;-43,72
12:10:03;49,977115;14,59265;-64,52;17,55;-65,47;20,14;-60,79;29,78;-43,56;-61,96;-43,72
12:10:04;49,977029;14,592355;-66,68;13,37;-62,74;21,96;-59;31,47;-43,56;-61,96;-43,72
12:10:05;49,976949;14,59207;-63,75;14,27;-68,34;16,96;-60,22;30,1;-43,56;-61,96;-43,72
12:10:06;49,976869;14,591775;-59,69;16,43;-66,02;19,68;-58,34;35,91;-98,68;-61,96;-99,24
12:10:07;49,97679;14,591478;-58,72;17,12;-66,03;20,28;-54,08;35,18;-38,36;-48,44;-29,48
12:10:08;49,976703;14,591155;-56,79;15,95;-66,61;19,35;-56,28;32,44;-38,36;-48,44;-23,48
12:10:09;49,976623;14,590865;-54,09;19,23;-66,95;19,08;-52,02;34,99;-38,68;-48,44;-23,48
12:10:10;49,976547;14,590589;-51,73;17,26;-68,29;17,09;-50,2;32,13;-38,68;-49,64;-23,48
12:10:11;49,976462;14,590283;-51,66;17,53;-67,28;18,07;-52,02;26,61;-38,68;-49,64;-23,48
12:10:12;49,976369;14,589953;-51,08;15,37;-70,14;17,42;-50,26;28,48;-38,68;-49,64;-23,48
12:10:13;49,976279;14,589629;-62,67;7,19;-70,76;17,75;-52,16;24,28;-42,6;-57;-21,24
12:10:14;49,976186;14,589284;-55,82;13,23;-76,19;14,1;-58,16;24,82;-42,6;-57;-21,24
12:10:15;49,9761;14,588967;-55,82;13,23;-76,19;14,1;-70,06;9,99;-50,44;-53,08;-51,72
12:10:16;49,975998;14,588606;-60,98;18,23;-112,17;5,56;-70,06;9,99;-50,44;-53,08;-51,72
12:10:17;49,975907;14,588273;-60,98;18,23;-80,93;12,65;-76,13;2,45;-49,48;-64,12;-56,44
12:10:18;49,975808;14,58789;-70,22;4,56;-81,92;12,22;-76,13;2,45;-45,08;-64,12;-39,16
12:10:19;49,975702;14,587458;-70,22;4,56;-81,92;12,22;-119,22;5,42;-45,08;-64,12;-28,2
12:10:20;49,975621;14,587131;-70,22;4,56;-81,92;12,22;-119,22;5,42;-47,64;-65,32;-28,2
12:10:21;49,975535;14,586785;-51,07;8,64;-82,57;15,24;-125,86;3,12;-56,6;-50,44;-27,8
12:10:22;49,975448;14,586423;-56,82;17,52;-81,47;13,28;-57,33;29,01;-56,6;-58,36;-27,8
12:10:23;49,975358;14,586074;-53,74;12,26;-84,57;13,47;-57,78;30,23;-42,68;-58,36;-35,96
12:10:24;49,975267;14,585713;-50,71;14,98;-84,72;14,26;-56,28;33,42;-42,68;-57,24;-35,96
12:10:25;49,975181;14,585365;-54,31;14,71;-80,76;13,29;-55,64;35,29;-42,68;-57,24;-35,96
12:10:26;49,975092;14,584999;-54;17,53;-78,56;17,97;-56,09;35,52;-42,68;-57,24;-35,96
12:10:27;49,975009;14,584662;-54,87;18,3;-82,02;12,88;-62,76;36,22;-50,44;-56,68;-24,12
12:10:28;49,974919;14,584299;-57,78;15,85;-78,7;16,55;-64,56;36,28;-50,44;-56,68;-30,6
12:10:29;49,974829;14,583937;-66,67;18,32;-89;10,13;-67,58;32,71;-41,32;-66,36;-30,6
12:10:30;49,974742;14,583584;-70,21;20,21;-84,03;12,62;-68,65;32,2;-41,32;-66,36;-30,6
12:10:31;49,974651;14,583216;-59,94;18,65;-84,73;10,19;-65,64;32,19;-45,32;-48,68;-38,2
12:10:32;49,974565;14,582873;-65,51;17,08;-92,22;5,65;-67,19;32,57;-45,32;-48,68;-38,2
12:10:33;49,974477;14,582522;-61,99;19;-83,4;10,99;-65,52;33,07;-47,08;-46,12;-41,72
12:10:34;49,974386;14,582154;-68,62;19,75;-85,23;8,64;-72,4;26,05;-45;-52,52;-45,8
12:10:35;49,974303;14,581819;-70,45;19,6;-82,52;8,96;-69,46;29,75;-45;-52,52;-45,8
12:10:36;49,974216;14,581466;-75,47;14,39;-85,58;8,55;-69,5;28,13;-45;-52,52;-45,8
12:10:37;49,974127;14,581102;-68,09;19,93;-79,73;12,27;-71,6;27,96;-45;-52,52;-45,8
12:10:38;49,974042;14,58076;-72,55;18,52;-78,59;13,63;-67,31;29,09;-46,36;-40,12;-47,16
12:10:39;49,973959;14,580421;-68,63;21,23;-84,41;8,94;-70,3;26,58;-46,36;-40,12;-47,16
12:10:40;49,973874;14,580073;-64,05;18,77;-84,87;6,61;-70,3;26,58;-46,36;-40,12;-47,16
12:10:41;49,973784;14,579711;-64,44;21,18;-82,62;7,53;-72,13;25,95;-55;-40,12;-53,48
12:10:42;49,9737;14,57937;-68,92;18,33;-76,61;14,98;-71,61;28,57;-55;-42,04;-53,48
12:10:43;49,973612;14,579018;-66,27;21,51;-85,87;9,26;-72,47;26,86;-55;-42,04;-53,48
12:10:44;49,973521;14,57865;-69,64;18,34;-76,93;13,73;-74,94;25,57;-50,84;-41,88;-52,52
12:10:45;49,973431;14,578278;-72,39;19,7;-76,98;13,54;-71,92;28,72;-50,84;-41,88;-52,52
12:10:46;49,973348;14,577935;-72,52;17,85;-77,68;12,68;-77,13;22,23;-50,84;-41,88;-52,52
12:10:47;49,973258;14,577575;-74,15;17,53;-76,61;11,79;-74,71;25,5;-55,16;-42,36;-50,2
12:10:48;49,973166;14,577206;-70,85;21,58;-79,4;9,98;-74,71;25,5;-55,16;-42,36;-50,2
12:10:49;49,973076;14,576841;-70,85;21,58;-79,4;9,98;-75,84;24,2;-66,92;-43,96;-46,04
12:10:50;49,972983;14,576464;-68,52;18,8;-75,92;12,89;-71,52;27,22;-66,92;-43,96;-46,04
12:10:51;49,972897;14,576112;-68,29;19,04;-84,38;3,56;-70,26;27,98;-66,92;-43,96;-46,04
12:10:52;49,972815;14,575782;-68,36;18,55;-76,35;9,96;-72;26,01;-54,04;-49;-52,6
12:10:53;49,972722;14,575407;-68,36;18,55;-79,65;4,76;-70,95;27,42;-54,04;-49;-54,44
12:10:54;49,97263;14,575033;-68,25;18,61;-77,6;9,95;-76,62;24,91;-60,44;-53,88;-54,44
12:10:55;49,972546;14,57469;-69,8;18,4;-77,82;14,5;-77,63;24,03;-60,44;-53,88;-54,44
12:10:56;49,97245;14,5743;-73,6;16,78;-84,25;9,03;-79,56;24,41;-60,44;-53,88;-54,44
12:10:57;49,972365;14,573952;-73,74;20,19;-84,25;9,03;-79,56;24,41;-45,24;-42,2;-54,44
12:10:58;49,972268;14,573557;-73,74;20,19;-76,99;17,53;-79,97;24,02;-52,68;-45,8;-52,44
12:10:59;49,972174;14,573187;-72,24;20,12;-74,94;18,13;-85,85;20,16;-52,68;-45,8;-52,44
12:11:00;49,972085;14,572829;-74,42;18,73;-79,26;15,79;-86,68;18,82;-52,52;-55,56;-53,88
12:11:01;49,971994;14,572458;-79,11;15,48;-81,59;16,99;-83,02;22,27;-52,52;-55,56;-53,88
12:11:02;49,971905;14,572095;-78,57;15,98;-80,11;14,53;-83,02;22,27;-52,52;-55,56;-53
12:11:03;49,971817;14,571738;-79,51;17,73;-80,11;14,53;-81,6;24,97;-63,96;-50,76;-53
12:11:04;49,971717;14,571336;-79,51;17,73;-83,39;16,19;-78,43;24,27;-63,96;-50,76;-55,72
12:11:05;49,971629;14,570993;-79,44;17,39;-86,41;9,68;-88,2;15,71;-54,12;-43,08;-55,72
12:11:06;49,971522;14,5706;-84,25;12,55;-89,9;7,61;-88,2;15,71;-61,08;-43,08;-68,84
12:11:07;49,971431;14,570269;-84,25;12,55;-92,65;8,5;-84,16;22,32;-61,08;-43,08;-68,84
12:11:08;49,971335;14,569913;-79,32;14,91;-82,33;11,07;-82,03;22,86;-61,08;-43,08;-68,84
12:11:09;49,971231;14,56953;-79,32;14,91;-82,33;11,07;-82,03;22,86;-61,08;-43,08;-61
12:11:10;49,971136;14,569185;-77,48;18,2;-86,56;8,05;-82,31;22,69;-56,6;-46,2;-59,24
12:11:11;49,971033;14,568824;-77,48;18,2;-86,56;8,05;-82,31;22,69;-54,84;-45,88;-63,64
12:11:12;49,970928;14,568465;-76,6;16,58;-83,15;10,52;-79,78;22,46;-54,84;-45,88;-58,36
